F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F1_10,F1_11,F1_12,F1_13,F1_14,F1_15,F1_16,F1_17,F1_18,F1_19,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S1_7,S1_8,S1_9,S1_10,S1_11,S1_12,S1_13,S1_14,S1_15,S1_16,S1_17,S1_18,S1_19,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_7,F2_8,F2_9,F2_10,F2_11,F2_12,F2_13,F2_14,F2_15,F2_16,F2_17,F2_18,F2_19,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S2_7,S2_8,S2_9,S2_10,S2_11,S2_12,S2_13,S2_14,S2_15,S2_16,S2_17,S2_18,S2_19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,4.605794101664174e-09,4.523368901665492e-09,6.281743902825099e-09,2.796835230078898e-08,2.9759207720303493e-08,4.667863517937576e-08,5.2328724464700827e-08,1.0169268200854731e-07,1.0824903711181832e-07,1.5723996611427537e-07,2.1061300259361815e-07,2.1940700776212906e-07,2.9892846384882434e-07,2.919162014336507e-07,3.460228953144906e-07,3.070893896506277e-07,2.1036231458992916e-07,2.0957947981514736e-07,2.628469303544989e-07,1.1302065083818036e-08,7.3324567750887585e-09,1.8963206560584922e-08,3.065303859628443e-08,3.910532857531734e-08,4.759275462618007e-08,7.284263254803136e-08,6.69180778345435e-08,6.657945661459053e-08,5.7349254589667e-08,3.806863393407411e-08,1.862678384867422e-08,1.650537413411257e-08,1.1395644339273759e-08,8.441656573765499e-09,7.535560953009224e-09,6.215913117557648e-09,4.492753191698285e-09,4.176360435259596e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000007,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999997,0.9999999999999998,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,1.0,2.228049078567551e-09,2.929097187021057e-10,2.126626374998608e-10,3.225121525396446e-09,1.0189450394548771e-10,2.7058191798268183e-10,3.158491246324502e-10,8.910146703788868e-10,7.451187084006605e-10,1.9800067085906647e-09,1.959847231169931e-08,4.456029465416123e-08,7.861736115444273e-08,1.0087613020459684e-07,2.839208178784247e-07,5.432356118717507e-07,6.76510057928681e-07,8.664329413932137e-07,1.1629835398707656e-06,0.0,0.0,0.0,1.6840123739925161e-10,4.6747999915552895e-11,2.0784696186382234e-10,8.253288746873366e-10,1.64938779301238e-10,1.8043320726413016e-10,2.505067174529696e-09,1.5523560481511823e-08,3.655504992039482e-08,6.18758104309336e-08,1.0872826372576583e-07,2.5236269323158923e-07,4.7386820938299935e-07,3.906337212811195e-07,3.76947170366293e-07,3.3344538792334787e-07
1.0,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0,1.0000000000000002,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,3.1682255174914074e-08,1.7722223044636108e-08,2.3915800373419672e-08,1.2518664558314185e-07,1.5880198667161948e-08,5.797317346178943e-08,1.2582874049371638e-07,3.2338412836452335e-07,5.600317393827936e-07,1.0401082874977874e-06,1.5852956948947395e-06,3.5155979958290118e-06,5.830020609209896e-06,8.420705125899985e-06,1.4693182765768143e-05,1.7581056454218924e-05,1.7424610086891333e-05,1.6167183639481662e-05,1.4717618341819616e-05,7.941881374762261e-10,2.726377701378624e-09,1.497016693940978e-09,6.57283694138755e-10,3.6890866250693933e-09,4.427265165585226e-09,1.675683920510096e-08,6.134971588522831e-08,1.2535811109160022e-07,1.903384884371917e-07,3.150328737433483e-07,3.4563732640435776e-07,5.173367043198596e-07,6.855547553641373e-07,1.054671139399943e-06,1.5025685911496111e-06,1.7688748243926966e-06,1.661625162796554e-06,1.4724874745297712e-06
1.3439213883298138,1.3457764541419757,1.4252346754278862,1.3244009729316344,1.3724109062177607,1.4027225566962378,1.4163849398170945,1.3869192409449438,1.3901365190884865,1.4142410836619033,1.2985046886588896,1.3627021020409906,1.3678047805604114,1.4203649126910625,1.402296885744901,1.4291010657329146,1.3690537492460184,1.3823851248348635,1.3218480120579503,1.3643653015210548,1.3098114062240904,1.4447333762628067,1.36091571634453,1.378020331204633,1.37907385482352,1.3753451498002354,1.3530903017893148,1.412001698146568,1.3469887208534836,1.3665006152603503,1.4273459362410568,1.3193944894647862,1.3743366874816316,1.401010454506161,1.396780082287801,1.3870982082812786,1.3989395730270746,1.3186414356946143,3.202649040758843e-05,4.2649273927963806e-05,3.343977787153563e-05,3.246409323764965e-05,3.170095733366907e-05,3.163814126310172e-05,3.439616411924362e-05,3.177268863510108e-05,2.8429755911929532e-05,2.5722000646055677e-05,2.3064287597662768e-05,2.3009494907455518e-05,2.0757174570462667e-05,1.8652414655662142e-05,1.6525783394172322e-05,1.705794293229701e-05,1.7135967209469526e-05,1.6523002886970062e-05,1.732451310090255e-05,2.8203809051774442e-05,2.9597002685477493e-05,3.106949534412706e-05,3.128594180452637e-05,3.084884647250874e-05,3.057905287278118e-05,3.298105457361089e-05,3.388344048289582e-05,3.450565272942185e-05,3.508321060508024e-05,3.4383043021080086e-05,3.2461740556755106e-05,3.224166994186817e-05,3.1426018904312516e-05,2.883509878301993e-05,2.8370670224830975e-05,2.4464244779665024e-05,2.2120634093880652e-05,1.9795085427176674e-05
1.3811725893008557,1.4409168302245257,1.376032290007947,1.351864171828703,1.317908934584953,1.389647262881783,1.2975371694510747,1.3731640915159653,1.378830156690827,1.3972211961034342,1.4392404955736657,1.3971808024433943,1.397278615235837,1.435806029372465,1.3699746746110502,1.3075631916945738,1.339387065749677,1.3360679569817586,1.416833526796535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999999,6.707870227273815e-07,5.690904345101444e-07,5.139215545568731e-07,5.910365416639252e-07,4.282154009160877e-07,4.347230486700937e-07,4.3581985949003864e-07,4.852757513162942e-07,5.937392700161581e-07,7.055121557186794e-07,9.241213547284133e-07,1.2384359251882415e-06,1.4283416248872528e-06,1.951607873706962e-06,2.082300807160209e-06,2.2243577859626384e-06,2.2109954898041906e-06,2.4084316692096763e-06,2.5274849804191035e-06,1.0647733228452693e-08,2.831488676857674e-09,3.0262570116512675e-09,2.9904068887809387e-09,1.871104932105183e-09,2.5608582476799313e-09,8.115068228509159e-09,7.508139021616956e-09,9.460641736680487e-09,1.138480234530448e-08,1.1680385725298947e-08,8.275757590325838e-09,9.194986061444865e-09,1.2225335499493894e-08,8.286264874257654e-09,8.427549635925402e-09,8.252847916168093e-09,7.0936698737256165e-09,6.6635482465216e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999998,1.0000000000000002,0.9999999999999999,4.4002644870033694e-07,7.000820531288809e-07,7.816488789558207e-07,1.0967692446683942e-06,8.405236485486967e-07,6.509898156537019e-07,8.538818121905933e-07,9.353153131996805e-07,7.089745508892519e-07,6.804170482155314e-07,6.120910597928742e-07,4.861617611595648e-07,5.874736871191999e-07,6.090560191296391e-07,3.802122023444099e-07,3.4218318489820376e-07,3.4453746735607636e-07,2.8272445717902883e-07,2.458544358319159e-07,1.7828527987262532e-07,1.4990282934945753e-07,1.2365577077844138e-07,2.0963908156090839e-07,2.0285799422481433e-07,3.027759547080677e-07,3.3588999315270485e-07,3.8490331633056485e-07,4.347380638591858e-07,4.527333999249095e-07,3.876041517969497e-07,3.475466058944221e-07,4.102941517203362e-07,4.3416584389888157e-07,3.928107503270439e-07,3.744396195770605e-07,3.034537343182819e-07,2.779117806994691e-07,2.91859626599944e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.9999999999999998,1.0,0.0,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.0,1.0000000000000004,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999997,0.9999999999999999,0.9999999999999998,0.9999999999999997,0.0,6.217378167860943e-10,8.849154298218309e-10,8.838682563627742e-10,1.617164696599005e-09,1.7130117713204384e-09,2.102816362703486e-09,1.4238356549345354e-09,1.115451649102983e-09,1.087972809066251e-09,5.247955618681299e-10,6.414699799117684e-10,9.129813266506303e-10,3.6879553022561853e-10,4.683111565206844e-10,5.132670857777022e-10,4.085192656377856e-10,3.8728794476972084e-10,3.09218133737188e-10,1.7668827467787196e-06,1.4548700050909247e-06,2.2875512058817548e-06,2.1799399746669224e-06,2.46150223119912e-06,2.530070969442022e-06,2.4033995032368695e-06,2.2285234081209636e-06,2.094589081025333e-06,1.7836477923083294e-06,1.3213095371611416e-06,8.224167629578005e-07,7.557954404546763e-07,5.769566854496588e-07,4.051862788401195e-07,3.455600335655618e-07,3.5381928285005417e-07,2.6150184311291015e-07,2.5053714836076324e-07
0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999997,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,1.2257256084374994,1.261581710837607,1.240935653241205,1.2664900986649352,1.2718687258093522,1.3185064787350922,1.2568442560654915,1.2373725207792043,1.29701542061695,1.2075462540572899,1.275771609428748,1.257729378373623,1.2598247095185597,1.2142875692886614,1.2130395421446105,1.2625404500682678,1.3614647559598567,1.284483931238858,1.2764467996405564,1.2252720182459598e-06,1.326238646015554e-06,1.3091245591567713e-06,1.0319818557036343e-06,1.191265704392208e-06,1.080968741007382e-06,8.176359187928028e-07,7.259971368966944e-07,6.091786133310961e-07,5.438559071535565e-07,4.573263254314952e-07,2.7555776398457966e-07,2.571698587416904e-07,2.2326171631448232e-07,1.7580397582150908e-07,1.9866456284489687e-07,2.0386784882475695e-07,1.426022315342834e-07,1.1275151479139822e-07,2.3891225828265307e-05,2.862861929315841e-05,2.9580981936305763e-05,2.817647164192749e-05,3.6621392791857946e-05,2.856073642760748e-05,2.462576194375288e-05,2.317424696229864e-05,1.7871961972559802e-05,1.5354823244706494e-05,1.251007570317597e-05,8.690372396813473e-06,7.1468480200564954e-06,6.681285731247044e-06,4.948900959789171e-06,5.656159419231699e-06,6.091043951528264e-06,4.053626435052138e-06,3.186996718795854e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333169180384175e-07,1.1607494521115314e-07,1.1562192909764235e-07,1.315456685802019e-07,2.403662477945545e-07,2.914696040079434e-07,3.0638159387308406e-07,2.9503257223950643e-07,3.1426441751136733e-07,3.300135261952164e-07,3.843424110527849e-07,3.2625915764583623e-07,3.4019984980204753e-07,3.8707234750745556e-07,3.4231436245590886e-07,3.512029422836349e-07,3.3767564389108884e-07,2.879186411064438e-07,3.1369848443318913e-07,8.320625510815916e-09,2.026552439193807e-08,2.8084805592243356e-08,3.050932750880975e-08,4.133937014927369e-08,4.5222534428290825e-08,5.920817187643479e-08,5.101585998090741e-08,6.143127464497412e-08,6.060008495012426e-08,5.636194657654414e-08,4.171252072637799e-08,5.098266271374996e-08,7.554590837344222e-08,4.685642203128282e-08,4.954556516167941e-08,5.022248608099744e-08,4.100841461962546e-08,4.1522900673385266e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.937844660293564e-08,1.626783650010566e-08,3.355387967474144e-08,4.023204738246022e-08,4.638610100471396e-08,4.241606941235432e-08,4.862748177458798e-08,4.9489712239392246e-08,6.432891694885256e-08,6.20341374713007e-08,7.043517626925678e-08,6.572331976428813e-08,7.38675108635789e-08,6.830827459225475e-08,6.804341516897238e-08,6.250804105434326e-08,6.98621253292231e-08,6.676118218251758e-08,6.900800784137572e-08,3.697899186860809e-08,4.1799922634311315e-08,3.527595620056445e-08,3.288431340564557e-08,3.8122243939398e-08,5.076072007170751e-08,4.818126750905094e-08,4.7638817335382555e-08,4.441431400437068e-08,3.880223466978805e-08,2.9670214196642063e-08,2.3135424598308417e-08,2.974755712870092e-08,2.8004820151750208e-08,2.4888585059557046e-08,2.689115703446987e-08,2.6377255046838854e-08,2.106386727263043e-08,1.590793230477061e-08
