S_1,F_1,S_2,F_2
0.0,-8.24251999986817e-11,0.0,-3.969608308729278e-09
0.0,1.7583750011596067e-09,0.0,1.1630749785496164e-08
0.0,2.168660839796388e-08,0.0,1.1689832035699507e-08
0.0,1.7908554195145137e-09,0.0,8.452289979032912e-09
0.0,1.6919427459072268e-08,0.0,8.487426050862726e-09
0.0,5.650089285325066e-09,0.0,2.5249877921851296e-08
0.0,4.9363957543846484e-08,0.0,-5.924554713487859e-09
0.0,6.556355103271011e-09,0.0,-3.3862121995297837e-10
0.0,4.899092900245704e-08,0.0,-9.23020202492353e-09
0.0,5.337303647934278e-08,0.0,-1.9280620655592884e-08
0.0,8.794005168510916e-09,0.0,-1.944185008539989e-08
0.0,7.952145608669528e-08,0.0,-2.1214097145616506e-09
0.0,-7.01226241517363e-09,0.0,-5.109729794838812e-09
0.0,5.4106693880839906e-08,0.0,-2.95398776550826e-09
0.0,-3.893350566386292e-08,0.0,-9.06095620756275e-10
0.0,-9.672707506069854e-08,1.0,-1.3196478354515762e-09
0.9999999999999998,-7.82834774781799e-10,-1.1102230246251565e-16,-1.723159925859363e-09
0.0,5.3267450539351526e-08,1.1102230246251565e-16,-3.163927564386883e-10
0.0,-1.9351393598654455e-09,0.0,0.0
0.0,-8.02470812022449e-11,0.0,0.0
0.0,3.012458887896585e-09,0.0,1.6840123739925161e-10
0.0,-3.123227021450958e-09,0.0,-1.216532374836987e-10
0.0,1.686874140371941e-10,0.0,1.6109896194826944e-10
0.0,4.5267206649768355e-11,0.0,6.174819128235143e-10
1.0000000000000002,5.751655457464366e-10,0.0,-6.603900953860986e-10
-2.220446049250313e-16,-1.458959619782263e-10,0.0,1.5494427962892148e-11
-2.220446049250313e-16,1.234888000190004e-09,0.0,2.3246339672655656e-09
8.881784197001252e-16,1.7618465603108646e-08,0.0,1.3018493306982127e-08
-4.440892098500626e-16,2.4961822342461917e-08,0.0,2.1031489438882997e-08
-2.220446049250313e-16,3.40570665002815e-08,0.0,2.532076051053878e-08
-1.1102230246251565e-16,2.2258769050154115e-08,0.0,4.685245329483223e-08
3.3306690738754696e-16,1.8304468767382785e-07,0.0,1.436344295058234e-07
-5.551115123125783e-16,2.59314793993326e-07,0.0,2.2150551615141012e-07
1.1102230246251565e-16,1.3327444605693026e-07,0.0,-8.323448810187987e-08
2.220446049250313e-16,1.8992288346453275e-07,0.9999999999999996,-1.368655091482649e-08
2.220446049250313e-16,2.9655059847755187e-07,4.440892098500626e-16,-4.3501782442945124e-08
-2.220446049250313e-16,-1.3960032130277966e-08,0.0,1.9321895639023977e-09
2.220446049250313e-16,6.193577328783564e-09,0.0,-1.2293610074376459e-09
2.220446049250313e-16,1.0127084520972218e-07,0.0,-8.39732999802223e-10
0.0,-1.093064469159799e-07,0.0,3.0318029309306384e-09
-2.220446049250313e-16,4.2092974794627485e-08,0.0,7.381785405158325e-10
-1.1102230246251565e-16,6.785556703192696e-08,0.0,1.2329574039515733e-08
3.3306690738754696e-16,1.9755538787080696e-07,0.0,4.459287668012735e-08
-2.220446049250313e-16,2.366476110182703e-07,1.0,6.40083952063719e-08
-1.1102230246251565e-16,4.800765481149937e-07,0.0,6.498037734559149e-08
1.1102230246251565e-16,5.451874073969521e-07,0.0,1.246943853061566e-07
2.220446049250313e-16,1.9303023009342725e-06,-1.0,3.060445266100945e-08
0.0,2.3144226133808845e-06,0.0,1.7169937791550185e-07
-4.440892098500626e-16,2.5906845166900885e-06,0.0,1.6821805104427767e-07
1.1102230246251565e-16,6.272477639868158e-06,1.0,3.691163840358057e-07
1.1102230246251565e-16,2.887873688450781e-06,0.0,4.4789745174966815e-07
2.220446049250313e-16,-1.564463673275909e-07,0.0,2.663062332430855e-07
-2.220446049250313e-16,-1.2574264474096708e-06,2.220446049250313e-16,-1.0724966159614269e-07
-1.1102230246251565e-16,-1.4495652976620463e-06,-4.440892098500626e-16,-1.891376882667827e-07
0.0018550658121618824,1.0622783520375378e-05,-0.054553895296964416,1.3931936337030506e-06
0.07945822128591051,-9.209496056428179e-06,0.1349219700387163,1.4724926586495685e-06
-0.10083370249625179,-9.756846338859773e-07,-0.08381765991827672,2.1644646039930968e-07
0.04800993328612635,-7.631359039805802e-07,0.017104614860103062,-4.370953320176327e-07
0.03031165047847706,-6.281607056735083e-08,0.0010535236188868868,-2.697935997275595e-07
0.013662383120856658,2.758022856141902e-06,-0.0037287050232845953,2.402001700829712e-06
-0.02946569887215067,-2.623475484142543e-06,-0.02225484801092059,9.02385909284928e-07
0.003217278143542668,-3.3429327231715454e-06,0.058911396357253176,6.22212246526034e-07
0.02410456457341681,-2.7077552658738555e-06,-0.0650129772930843,5.775578756583868e-07
-0.11573639500301369,-2.657713048392909e-06,0.019511894406866626,-7.00167584000154e-07
0.06419741338210105,-5.479269020724974e-08,0.060845320980706497,-1.9213024643249796e-06
0.005102678519420811,-2.252320336992851e-06,-0.10795144677627055,-2.200706148869385e-07
0.05256013213065103,-2.1047599148005247e-06,0.05494219801684541,-8.156510375556509e-07
-0.018068026946161497,-2.1266312614898204e-06,0.026673767024529393,-2.5909201212925877e-06
0.026804179988013654,5.321595381246893e-07,-0.00423037221836009,-4.644285581889542e-07
-0.06004731648689621,7.8024277172515e-08,-0.009681874006522317,-3.90642544516595e-06
0.013331375588845118,-6.129643224994638e-07,0.011841364745796001,-2.3436106857843724e-06
-0.060537112776913204,8.015102139324888e-07,-0.08029813733246027,-2.3255486667039777e-06
0.05974424092366992,-1.0169658821723709e-07,0.0,-7.816244551595019e-09
-0.06488454021657875,-5.516887995327131e-08,0.0,1.9476833479359348e-10
-0.024168118179243914,7.711498710705207e-08,0.0,-3.585012287032888e-11
-0.033955237243749936,-1.6282114074783753e-07,0.0,-1.1193019566757556e-09
0.07173832829683002,6.5076477540060296e-09,0.0,6.897533155747483e-10
-0.09211009343070842,1.0968108199449383e-09,0.0,5.554209980829228e-09
0.07562692206489063,4.945589182625559e-08,1.0000000000000002,-6.069292068922035e-10
0.005666065174861679,1.0846351869986384e-07,-3.3306690738754696e-16,1.952502715063531e-09
0.018391039412607224,1.1177288570252133e-07,1.1102230246251565e-16,1.9241606086239926e-09
0.04201929947023153,2.1860919900973392e-07,0.0,2.955833799944675e-10
-0.04205969313027147,3.1431457045982816e-07,0.0,-3.404628134973109e-09
9.781279244269747e-05,1.899056996990113e-07,-2.220446049250313e-16,9.192284711190268e-10
0.03852741413662808,5.23266248819709e-07,2.220446049250313e-16,3.0303494380490296e-09
-0.06583135476141488,1.306929334532473e-07,0.0,-3.939070625236241e-09
-0.06241148291647636,1.4205697880242934e-07,2.220446049250313e-16,1.4128476166774817e-10
0.03182387405510312,-1.3362296158447862e-08,-3.3306690738754696e-16,-1.7470171975730897e-10
-0.0033191087679182996,1.9743617940548575e-07,1.1102230246251565e-16,-1.1591780424424762e-09
0.08076556981477645,1.1905331120942719e-07,-1.1102230246251565e-16,-4.301216272040168e-10
0.0,2.60055604428544e-07,0.0,-2.8382450523167796e-08
0.0,8.156682582693977e-08,0.0,-2.6247058571016153e-08
0.0,3.151203657125735e-07,0.0,8.598331078246701e-08
0.0,-2.562455961196975e-07,0.0,-6.781087336094055e-09
0.0,-1.8953383289499477e-07,0.0,9.991796048325339e-08
0.0,2.0289199653689138e-07,0.0,3.311403844463713e-08
0.0,8.143350100908724e-08,0.0,4.901332317786e-08
0.0,-2.263407623104286e-07,0.0,4.983474752862096e-08
